model,conversation_id,question_ref,answer_ref,question,answer,score,offset_answer_start,offset_answer_end,context,offset_context_start,offset_context_end,label
salti/bert-base-multilingual-cased-finetuned-squad,10964,0,0,What date is set for another meeting?,no_answer,4.992604733,0,0,,0,0,0
salti/bert-base-multilingual-cased-finetuned-squad,10964,0,1,What date is set for another meeting?,today,-5.348203182,313,318,"aid ""Well thank you for agreeing to be recorded today and I sent over the written consent. But I hav",265,365,0
salti/bert-base-multilingual-cased-finetuned-squad,10964,0,2,What date is set for another meeting?,earlier,-6.217937469,10107,10114,getting my head around instigating a LABA LAMA earlier. And I do like the respimat device but I'd be,10060,10160,0
salti/bert-base-multilingual-cased-finetuned-squad,10964,0,3,What date is set for another meeting?,agreeing to be recorded today,-6.224905491,289,318,"""
operator said ""Well thank you for agreeing to be recorded today and I sent over the written consen",253,353,0
salti/bert-base-multilingual-cased-finetuned-squad,10964,0,4,What date is set for another meeting?,LABA LAMA earlier,-6.931231022,10097,10114,t me getting my head around instigating a LABA LAMA earlier. And I do like the respimat device but I,10055,10155,0
salti/bert-base-multilingual-cased-finetuned-squad,10964,1,0,What date is proposed for the next meeting?,no_answer,4.393781185,0,0,,0,0,0
salti/bert-base-multilingual-cased-finetuned-squad,10964,1,1,What date is proposed for the next meeting?,this meeting will be recorded for training and monitoring purposes,-1.825630426,718,784,gree with it. So this meeting will be recorded for training and monitoring purposes. You understand ,701,801,0
salti/bert-base-multilingual-cased-finetuned-squad,10964,1,2,What date is proposed for the next meeting?,recorded for training and monitoring purposes,-2.701275826,739,784,it. So this meeting will be recorded for training and monitoring purposes. You understand and accept,711,811,0
salti/bert-base-multilingual-cased-finetuned-squad,10964,1,3,What date is proposed for the next meeting?,going straight from Asaba to LAMA LABA,-2.898247719,7357,7395,e in these now so recommending going straight from Asaba to LAMA LABA. And I know currently you're t,7326,7426,0
salti/bert-base-multilingual-cased-finetuned-squad,10964,1,4,What date is proposed for the next meeting?,calendar,-3.021210194,17301,17309,"ill be fine. ""
operator said ""I'll send you a calendar invite for that then. And we do have an email",17255,17355,0
salti/bert-base-multilingual-cased-finetuned-squad,12046,0,0,What date is set for another meeting?,Thursday,7.036968231,26621,26629,"and time or is it best for me to try you on a Thursday?""
customer said ""Thursday's the best day Beca",26575,26675,1
salti/bert-base-multilingual-cased-finetuned-squad,12046,0,1,What date is set for another meeting?,no_answer,4.440131187,0,0,,0,0,1
salti/bert-base-multilingual-cased-finetuned-squad,12046,0,2,What date is set for another meeting?,"Thursday?""
customer said ""Thursday",3.823600054,26621,26655,"s it best for me to try you on a Thursday?""
customer said ""Thursday's the best day Because I'm half ",26588,26688,1
salti/bert-base-multilingual-cased-finetuned-squad,12046,0,3,What date is set for another meeting?,"Thursday?""
customer said ""Thursday's the best day Because I'm half day so you know I can talk for Wales then",3.780556917,26621,26729,"Thursday?""
customer said ""Thursday's the best day Because I'm half day so you know I can talk for Wales then",26621,26729,1
salti/bert-base-multilingual-cased-finetuned-squad,12046,0,4,What date is set for another meeting?,a Thursday,2.718871593,26619,26629," and time or is it best for me to try you on a Thursday?""
customer said ""Thursday's the best day Bec",26574,26674,1
salti/bert-base-multilingual-cased-finetuned-squad,12046,1,0,What date is proposed for the next meeting?,Thursday,8.130292892,26621,26629,"and time or is it best for me to try you on a Thursday?""
customer said ""Thursday's the best day Beca",26575,26675,1
salti/bert-base-multilingual-cased-finetuned-squad,12046,1,1,What date is proposed for the next meeting?,no_answer,4.991643429,0,0,,0,0,1
salti/bert-base-multilingual-cased-finetuned-squad,12046,1,2,What date is proposed for the next meeting?,"Thursday?""
customer said ""Thursday's the best day Because I'm half day so you know I can talk for Wales then",4.811161041,26621,26729,"Thursday?""
customer said ""Thursday's the best day Because I'm half day so you know I can talk for Wales then",26621,26729,1
salti/bert-base-multilingual-cased-finetuned-squad,12046,1,3,What date is proposed for the next meeting?,"Thursday?""
customer said ""Thursday",4.399007797,26621,26655,"s it best for me to try you on a Thursday?""
customer said ""Thursday's the best day Because I'm half ",26588,26688,1
salti/bert-base-multilingual-cased-finetuned-squad,12046,1,4,What date is proposed for the next meeting?,a Thursday,3.77158618,26619,26629," and time or is it best for me to try you on a Thursday?""
customer said ""Thursday's the best day Bec",26574,26674,1
salti/bert-base-multilingual-cased-finetuned-squad,12838,0,0,What date is set for another meeting?,no_answer,0.670145273,0,0,,0,0,1
salti/bert-base-multilingual-cased-finetuned-squad,12838,0,1,What date is set for another meeting?,month,-3.143556356,2430,2435,people complain that when one month and another month and they're all the same as you know because t,2382,2482,1
salti/bert-base-multilingual-cased-finetuned-squad,12838,0,2,What date is set for another meeting?,one month and another month,-3.156076431,2408,2435,ve is that people complain that when one month and another month and they're all the same as you kno,2371,2471,1
salti/bert-base-multilingual-cased-finetuned-squad,12838,0,3,What date is set for another meeting?,one month,-3.914023399,2408,2417,lem we have is that people complain that when one month and another month and they're all the same a,2362,2462,1
salti/bert-base-multilingual-cased-finetuned-squad,12838,0,4,What date is set for another meeting?,month and another month,-4.528812885,2412,2435, is that people complain that when one month and another month and they're all the same as you know ,2373,2473,1
salti/bert-base-multilingual-cased-finetuned-squad,12838,1,0,What date is proposed for the next meeting?,no_answer,-0.481198549,0,0,,0,0,1
salti/bert-base-multilingual-cased-finetuned-squad,12838,1,1,What date is proposed for the next meeting?,if possible it would be an idea to maybe get you back into the practice,-4.624049664,7207,7278,ut kind of way if possible it would be an idea to maybe get you back into the practice and the pharm,7192,7292,1
salti/bert-base-multilingual-cased-finetuned-squad,12838,1,2,What date is proposed for the next meeting?,if possible it would be an idea to maybe get you back into the practice and the pharmacist because our generic approach to generics looks like it's not a good idea,-5.073897839,7207,7370, if possible it would be an idea to maybe get you back into the practice and the pharmacist because our generic approach to generics looks like it's not a good idea,7206,7370,1
salti/bert-base-multilingual-cased-finetuned-squad,12838,1,3,What date is proposed for the next meeting?,if possible it would be an idea to maybe get you back into the practice and the pharmacist,-5.210802078,7207,7297, way if possible it would be an idea to maybe get you back into the practice and the pharmacist beca,7202,7302,1
